timestamp_ist,signal,symbol,cmp,pcr,score,maxPain,mpGap
2026-07-23 12:43:51,SELL-CORE,BANKINDIA,141.95,0.95,0,142.85,-0.63
2026-07-23 12:43:52,BUY-CORE,ABB,7558.0,0.49,44,7800,-3.1
2026-07-23 12:43:53,SELL,MUTHOOTFIN,3029.1,0.56,22,3150,-3.84
2026-07-23 12:43:54,SELL-CORE,MUTHOOTFIN,3029.1,0.56,22,3150,-3.84
2026-07-23 12:43:55,SELL-CORE,INDUSINDBK,1003.75,0.89,27,1010,-0.62
2026-07-23 12:43:56,BUY-CORE,VBL,459.25,1.05,58,470,-2.29
2026-07-23 12:43:56,SELL-CORE,VBL,459.25,1.05,58,470,-2.29
2026-07-23 12:43:56,COIL,VBL,459.25,1.05,58,470,-2.29
2026-07-23 12:43:57,SELL-CORE,LICHSGFIN,532.7,1.11,27,540,-1.35
2026-07-23 12:43:58,SELL,UPL,605.8,0.63,22,615,-1.5
2026-07-23 12:43:59,SELL-CORE,UPL,605.8,0.63,22,615,-1.5
2026-07-23 12:44:00,BUY-CORE,BPCL,312.9,1.03,58,310,0.94
2026-07-23 12:44:00,SELL-CORE,BPCL,312.9,1.03,58,310,0.94
2026-07-23 12:44:01,BUY-CORE,COCHINSHIP,1383.0,0.97,73,1400,-1.21
2026-07-23 12:44:02,SELL,APOLLOHOSP,8821.0,0.85,0,8900,-0.89
2026-07-23 12:44:02,SELL-CORE,APOLLOHOSP,8821.0,0.85,0,8900,-0.89
2026-07-23 12:44:03,BUY-CORE,DMART,4041.1,0.6,44,4100,-1.44
2026-07-23 12:44:04,SELL,FORTIS,943.35,0.77,27,970,-2.75
2026-07-23 12:44:05,SELL-CORE,FORTIS,943.35,0.77,27,970,-2.75
2026-07-23 12:44:06,SELL-CORE,IOC,141.02,0.88,27,142,-0.69
2026-07-23 12:44:06,SELL-CORE,CIPLA,1379.8,1.74,43,1380,-0.01
2026-07-23 12:44:07,SELL,MARICO,851.85,0.56,0,860,-0.95
2026-07-23 12:44:08,SELL-CORE,MARICO,851.85,0.56,0,860,-0.95
2026-07-23 12:44:09,SELL,NAUKRI,1166.25,0.61,22,1200,-2.81
2026-07-23 12:44:09,SELL-CORE,NAUKRI,1166.25,0.61,22,1200,-2.81
2026-07-23 12:44:10,BUY-CORE,MAZDOCK,2303.6,0.99,53,2360,-2.39
2026-07-23 12:44:12,SELL-CORE,CDSL,1324.0,1.1,47,1360,-2.65
2026-07-23 12:44:12,COIL,CDSL,1324.0,1.1,47,1360,-2.65
2026-07-23 12:44:13,SELL,ABCAPITAL,392.85,0.66,0,410,-4.18
2026-07-23 12:44:13,SELL-CORE,ABCAPITAL,392.85,0.66,0,410,-4.18
2026-07-23 12:44:14,SELL,GAIL,171.82,0.8,27,173,-0.68
2026-07-23 12:44:15,SELL-CORE,GAIL,171.82,0.8,27,173,-0.68
2026-07-23 12:44:16,SELL,DIVISLAB,7277.0,0.55,0,7400,-1.66
